2022-04-08 16:35:40.605 | INFO     | modules.Project:GetPndPdfPro:130 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 16:35:40.831 | INFO     | modules.Project:GetPndPdfPro:139 - PDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 16:43:51.708 | INFO     | modules.Project:GetPndPdfPro:130 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 16:43:51.914 | INFO     | modules.Project:GetPndPdfPro:139 - PDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 16:44:28.893 | INFO     | modules.Project:GetPndPdfPro:130 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 16:44:42.793 | INFO     | modules.Project:GetPndPdfPro:130 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 16:45:21.408 | INFO     | modules.Project:GetPndPdfPro:130 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 16:45:21.610 | INFO     | modules.Project:GetPndPdfPro:139 - PDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 16:45:34.206 | INFO     | modules.Project:GetPndPdfPro:130 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 16:45:34.402 | INFO     | modules.Project:GetPndPdfPro:139 - PDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 16:48:12.950 | INFO     | modules.Project:GetPndPdfPro:130 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 16:48:13.169 | INFO     | modules.Project:GetPndPdfPro:139 - PDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 17:13:10.061 | INFO     | modules.Project:GetPndPdfPro:131 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 17:13:10.269 | INFO     | modules.Project:GetPndPdfPro:140 - PDF创建成功=======>/home/upload/broke/pnd/file/report\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 17:28:15.196 | INFO     | modules.Project:GetPndPdfPro:131 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 17:28:15.399 | INFO     | modules.Project:GetPndPdfPro:140 - PDF创建成功=======>/home/upload/broke/pnd/file/report\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 17:28:42.759 | INFO     | modules.Project:GetPndPdfPro:131 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 17:28:42.957 | INFO     | modules.Project:GetPndPdfPro:140 - PDF创建成功=======>/home/upload/broke/pnd/file/report\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 17:29:50.975 | INFO     | modules.Project:GetPndPdfPro:131 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 17:29:51.158 | INFO     | modules.Project:GetPndPdfPro:140 - PDF创建成功=======>/home/upload/broke/pnd/file/report\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 17:30:46.547 | INFO     | modules.Project:GetPndPdfPro:131 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 17:30:46.757 | INFO     | modules.Project:GetPndPdfPro:140 - PDF创建成功=======>/home/upload/broke/pnd/file/report\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 17:30:58.259 | INFO     | modules.Project:GetPndPdfPro:131 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 17:30:58.463 | INFO     | modules.Project:GetPndPdfPro:140 - PDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 17:32:52.045 | INFO     | modules.Project:GetPndPdfPro:131 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 17:32:52.327 | INFO     | modules.Project:GetPndPdfPro:140 - PDF创建成功=======>/home/upload/broke/02f84b66f27e4f899eb40e3abbfb007d\pdf\20220408\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-08 17:34:19.459 | INFO     | modules.Project:GetPndPdfPro:131 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 17:34:46.047 | INFO     | modules.Project:GetPndPdfPro:131 - ----->>>创建 era_bedroom_pdf,bac8734f5565424b92039ad18e9daa9f
2022-04-08 17:34:46.249 | INFO     | modules.Project:GetPndPdfPro:140 - PDF创建成功=======>/home/upload/broke/02f84b66f27e4f899eb40e3abbfb007d\pdf\20220408\02f84b66f27e4f899eb40e3abbfb007d1649410486.0492384.pdf
