2022-04-12 17:45:59.605 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:46:01.309 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:46:01.313 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:46:21.721 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:46:22.620 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:46:22.624 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:46:39.448 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:46:40.349 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:46:40.353 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:46:40.607 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 17:46:40.864 | INFO     | modules.Project:ComparisonPDF:1056 - ---------->page 2
2022-04-12 17:46:40.881 | INFO     | modules.Project:ComparisonPDF:1059 - ---------->page 3
2022-04-12 17:46:40.938 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 17:47:26.530 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:47:27.445 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:47:27.450 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:47:27.469 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
2022-04-12 17:47:27.658 | INFO     | modules.Project:ComparisonPDF:1056 - ---------->page 2
2022-04-12 17:47:27.661 | INFO     | modules.Project:ComparisonPDF:1059 - ---------->page 3
2022-04-12 17:47:27.723 | INFO     | modules.Project:GetPndComparison:106 - ComparisonPDF创建成功=======>E:\新联国际\地产项目-C端\python\mixgo_py_pro\Comparison\02f84b66f27e4f899eb40e3abbfb007d.pdf
2022-04-12 17:51:43.065 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:51:44.087 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:51:44.091 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:52:13.657 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:52:14.799 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:52:14.804 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:52:28.427 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:52:29.391 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:52:29.395 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:52:46.114 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:52:47.149 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:52:47.152 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:53:19.528 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:53:20.495 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:53:20.500 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:53:42.988 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:53:43.966 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:53:43.970 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:53:58.411 | INFO     | modules.Project:GetPndComparison:97 - 创建PDF,bac8734f5565424b92039ad18e9daa9f
2022-04-12 17:53:59.390 | INFO     | modules.Project:ComparisonPDF:857 - ----------> 生成空文件
2022-04-12 17:53:59.395 | INFO     | modules.Project:ComparisonPDF:977 - ---------->proimglist 处理完成
2022-04-12 17:54:00.762 | INFO     | modules.Project:ComparisonPDF:1000 - ---------->page 1
