2024-08-08 16:02:40.368 | INFO     | manger:get:126 - audax_admin
2024-08-08 16:03:33.937 | INFO     | manger:get:127 - audax_admin
2024-08-08 16:04:38.160 | INFO     | manger:get:127 - audax_admin
2024-08-08 16:17:04.342 | INFO     | manger:log_requests:61 - 请求路径: /
2024-08-08 16:17:04.345 | INFO     | manger:get:136 - audax_admin
2024-08-08 16:25:14.743 | INFO     | manger:log_requests:61 - 请求路径: /
2024-08-08 16:25:14.747 | INFO     | manger:get:137 - audax_admin
2024-08-08 16:25:14.749 | INFO     | manger:log_requests:63 - 响应内容: <starlette.responses.StreamingResponse object at 0x00000191BA640910>
2024-08-08 16:29:33.303 | INFO     | manger:log_requests:62 - 请求路径: /
2024-08-08 16:29:33.305 | INFO     | manger:get:138 - audax_admin
2024-08-08 16:29:33.308 | INFO     | manger:log_requests:64 - 响应内容: <starlette.responses.StreamingResponse object at 0x0000017A4E4C93C0>
2024-08-08 16:29:33.547 | INFO     | manger:log_requests:62 - 请求路径: /favicon.ico
2024-08-08 16:29:33.552 | INFO     | manger:log_requests:64 - 响应内容: <starlette.responses.StreamingResponse object at 0x0000017A4E4CA0B0>
2024-08-08 16:29:53.000 | INFO     | manger:log_requests:62 - 请求路径: /
2024-08-08 16:29:53.008 | INFO     | manger:get:138 - audax_admin
2024-08-08 16:29:53.014 | INFO     | manger:log_requests:64 - 响应内容: 200
2024-08-08 16:29:53.242 | INFO     | manger:log_requests:62 - 请求路径: /favicon.ico
2024-08-08 16:29:53.246 | INFO     | manger:log_requests:64 - 响应内容: 404
2024-08-08 16:30:02.673 | INFO     | manger:log_requests:62 - 请求路径: /
2024-08-08 16:30:02.681 | INFO     | manger:get:138 - audax_admin
2024-08-08 16:30:02.976 | INFO     | manger:log_requests:62 - 请求路径: /favicon.ico
2024-08-08 16:30:22.407 | INFO     | manger:log_requests:62 - 请求路径: /
2024-08-08 16:30:22.411 | INFO     | manger:get:138 - audax_admin
2024-08-08 16:30:22.702 | INFO     | manger:log_requests:62 - 请求路径: /favicon.ico
2024-08-08 16:30:33.333 | INFO     | manger:log_requests:62 - 请求路径: /
2024-08-08 16:30:33.337 | INFO     | manger:get:138 - audax_admin
2024-08-08 16:30:33.340 | INFO     | manger:log_requests:64 - 响应内容: None
2024-08-08 16:30:33.581 | INFO     | manger:log_requests:62 - 请求路径: /favicon.ico
2024-08-08 16:30:33.584 | INFO     | manger:log_requests:64 - 响应内容: None
2024-08-08 16:30:51.358 | INFO     | manger:log_requests:62 - 请求路径: /
2024-08-08 16:30:51.362 | INFO     | manger:get:138 - audax_admin
2024-08-08 16:30:51.366 | INFO     | manger:log_requests:64 - 响应内容: None
2024-08-08 16:30:51.578 | INFO     | manger:log_requests:62 - 请求路径: /favicon.ico
2024-08-08 16:30:51.581 | INFO     | manger:log_requests:64 - 响应内容: None
2024-08-08 16:34:05.530 | INFO     | manger:log_requests:62 - 请求路径: /
2024-08-08 16:34:05.538 | INFO     | manger:get:138 - audax_admin
2024-08-08 16:34:05.804 | INFO     | manger:log_requests:62 - 请求路径: /favicon.ico
2024-08-08 16:35:45.218 | INFO     | manger:log_requests:63 - 请求路径: /
2024-08-08 16:35:45.221 | INFO     | manger:get:153 - audax_admin
2024-08-08 16:35:45.223 | INFO     | manger:log_requests:65 - 响应内容: <starlette.responses.StreamingResponse object at 0x0000025A122E0F70>
2024-08-08 16:35:45.502 | INFO     | manger:log_requests:63 - 请求路径: /favicon.ico
2024-08-08 16:35:45.506 | INFO     | manger:log_requests:65 - 响应内容: <starlette.responses.StreamingResponse object at 0x0000025A12258460>
2024-08-08 16:35:56.537 | INFO     | manger:log_requests:63 - 请求路径: /
2024-08-08 16:35:56.543 | INFO     | manger:get:153 - audax_admin
2024-08-08 16:35:56.549 | INFO     | manger:log_requests:65 - 响应内容: <starlette.responses.StreamingResponse object at 0x000002DA3B404F70>
2024-08-08 16:35:56.778 | INFO     | manger:log_requests:63 - 请求路径: /favicon.ico
2024-08-08 16:35:56.783 | INFO     | manger:log_requests:65 - 响应内容: <starlette.responses.StreamingResponse object at 0x000002DA3B378550>
2024-08-08 16:36:23.313 | INFO     | manger:get:147 - audax_admin
2024-08-08 16:37:31.430 | INFO     | manger:get:148 - audax_admin
2024-08-08 16:37:34.000 | INFO     | manger:get:148 - audax_admin
2024-08-08 16:37:37.475 | INFO     | manger:get:148 - audax_admin
2024-08-08 16:38:40.567 | INFO     | manger:get:148 - audax_admin
2024-08-08 16:40:04.021 | INFO     | manger:get:147 - audax_admin
