2024-11-08 16:42:04.289 | INFO     | modules.Project:Make_Signature_Files:1985 - Make_Signature_Files ====>>>>>docPath='/tmp.docx' data={'signDate': '02/03/2024', 'buyerList': [{'num': '1', 'buyerName': 'xx1'}, {'num': '2', 'buyerName': 'xx2'}, {'num': '3', 'buyerName': 'xx3'}], 'img1': '/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/26835e67a63f48aeb31750a3e8385a17/PDIFloorPlanImg/6811f0fdc7a049c483ef1a876fdad3c9.jpg', 'img2': '/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/26835e67a63f48aeb31750a3e8385a17/PDIFloorPlanImg/94faddd9512148b797c09cf30ac44e1.jpg', 'unitName': '#01-01'}
2024-11-08 16:45:00.519 | INFO     | manger:get:105 - audax_admin
2024-11-08 16:45:07.766 | INFO     | manger:request_validation_exception_handler:81 - POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 16:45:07.769 | ERROR    | manger:request_validation_exception_handler:83 - 参数错误POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 16:57:49.206 | INFO     | manger:request_validation_exception_handler:81 - POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 16:57:49.209 | ERROR    | manger:request_validation_exception_handler:83 - 参数错误POST http://192.168.0.114:7777/project/Make_Signature_File
2024-11-08 16:59:05.738 | INFO     | modules.Project:Make_Signature_Files:1985 - Make_Signature_Files ====>>>>>docPath='/tmp.docx' data={'signDate': '02/03/2024', 'buyerList': [{'num': '1', 'buyerName': 'xx1'}, {'num': '2', 'buyerName': 'xx2'}, {'num': '3', 'buyerName': 'xx3'}], 'img1': '/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/26835e67a63f48aeb31750a3e8385a17/PDIFloorPlanImg/6811f0fdc7a049c483ef1a876fdad3c9.jpg', 'img2': '/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/26835e67a63f48aeb31750a3e8385a17/PDIFloorPlanImg/94faddd9512148b797c09cf30ac44e1.jpg', 'unitName': '#01-01'}
2024-11-08 16:59:18.640 | INFO     | modules.Project:Make_Signature_Files:1985 - Make_Signature_Files ====>>>>>docPath='/tmp.docx' data={'signDate': '02/03/2024', 'buyerList': [{'num': '1', 'buyerName': 'xx1'}, {'num': '2', 'buyerName': 'xx2'}, {'num': '3', 'buyerName': 'xx3'}], 'img1': '/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/26835e67a63f48aeb31750a3e8385a17/PDIFloorPlanImg/6811f0fdc7a049c483ef1a876fdad3c9.jpg', 'img2': '/upload/broke/0c5d80359cc5416a9ea953fdebcbfc20/26835e67a63f48aeb31750a3e8385a17/PDIFloorPlanImg/94faddd9512148b797c09cf30ac44e1.jpg', 'unitName': '#01-01'}
2024-11-08 16:59:18.976 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>Date:{{signDate}}
2024-11-08 16:59:18.985 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>{{buyerList}}
2024-11-08 16:59:18.990 | INFO     | modules.Project:text_to_word:1943 - 填充文本 =====>[ {{unitName}} ] BELGRAVIA DRIVE, BELGRAVIA ACE, Singapore (the “Property”)
